item_id:token	title:token	categories:token_seq	brand:token	sales_type:token	sales_rank:float
B00000I1BQ	Crash Bandicoot	'Video Games', 'PlayStation', 'Games'	by        Universal Interactive Studios	Video Games	
B00000I1BF	Spyro the Dragon	'Video Games', 'PlayStation', 'Games'	Spyro	Video Games	
B00000I1BS	Croc: Legend of the Gobbos	'Video Games', 'PlayStation', 'Games'	Fox Interactive	Video Games	
B00000I1BJ	Resident Evil 2	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B00000ID61	Star Fox 64 (without Rumble Pak)	'Video Games', 'Games', 'Outstanding cinema scenes tell the Star Fox saga'	by        Nintendo	Video Games	
B00000ID60	Cruis'n USA	'Video Games', 'Games'	Nintendo	Video Games	
B00000IFRI	Mario Party	'Video Games', 'Games'	Nintendo	Video Games	
B00000IODY	Syphon Filter	'Video Games', 'PlayStation'	Unknown	Books	252235.0
B00000INR2	Nintendo 64 Expansion Pak	'Video Games', 'Accessories'	by        Nintendo	Video Games	
B00000IZS1	Sonic Heroes - PlayStation 2	'Video Games', 'Games'	by        Sega	Video Games	
B00000IYEQ	Pokemon - Red Version	'Video Games', 'Game Boy Color', 'Games'	by        Nintendo	Video Games	
B00000J2OO	Star Wars - Episode I - Racer	'Video Games', 'Games'	Nintendo	Video Games	
B00000J2W7	Super Smash Bros.	'Video Games', 'Games'	Nintendo	Video Games	
B00000J9J9	Super Mario Bros. Deluxe	'Video Games', 'Game Boy Color', 'Games', 'Game Boy Printer support', 'Battery backed with three game save slots'	by        Nintendo	Video Games	
B00000J97G	Game Boy Color - Atomic Purple	'Video Games', 'Game Boy Color', 'Consoles'	by        Nintendo	Video Games	
B00000JHPD	Nintendo 64 Controller - Black	'Video Games'	Nintendo	Video Games	
B00000JHPN	Oddworld Abe's Oddysee	'Video Games', 'PlayStation', 'Games'	GT Interactive	Video Games	
B00000JIUG	Lunar: Silver Star Story Complete	'Video Games', 'PlayStation', 'Games'	by        Working Designs	Video Games	
B00000JHPT	Superman	'Video Games', 'Games'	Titus	Video Games	
B00000JL60	Myst - PC	'Video Games', 'PC', 'Games'	by        Ubisoft	Video Games	
B00000JL6V	Riven: The Sequel to Myst - PC/Mac	'Video Games', 'PC', 'Games'	by        Ubisoft	Video Games	
B00000JNHJ	Ape Escape	'Video Games', 'PlayStation', 'Games'	by        SPIG	Video Games	
B00000JRSB	Final Fantasy VII	'Video Games', 'PlayStation', 'Games'	SquareSoft	Video Games	
B00000K125	Soul Calibur - Sega Dreamcast	'Video Games', 'Sega Dreamcast', 'Games'	by        Bandai	Video Games	
B00000K10U	Resident Evil Code Veronica	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B00000K2G7	Resident Evil 2	'Video Games', 'Games'	Capcom	Video Games	
B00000K1VK	Pac-Man World	'Video Games', 'PlayStation', 'Games'	Namco	Video Games	
B00000K1VE	Dino Crisis	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B00000K2R4	Sega Dreamcast Console	'Video Games', 'Sega Dreamcast', 'Consoles'	by        Sega	Video Games	
B00000K1VA	Resident Evil 3: Nemesis	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B00000K2R6	Visual Memory Unit - White	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B00000K2X5	Tekken 3	'Video Games', 'PlayStation', 'Games'	Namco	Video Games	
B00000K39I	Star Ocean: The Second Story	'Video Games', 'PlayStation', 'Games'	Enix	Video Games	
B00000K3X9	Sonic Adventure - Sega Dreamcast	'Video Games', 'Sega Dreamcast', 'Games'	by        Sega	Video Games	
B00000K4AX	System Shock 2 - PC	'Video Games', 'PC', 'Games'	by        Electronic Arts	Video Games	
B00000K4E1	GameShark Pro	'Video Games', 'Accessories'	InterAct	Video Games	
B00000K514	Star Wars: Rebellion - PC	'Video Games', 'PC', 'Games'	by        LucasArts	Video Games	
B00001IVB4	Sim Theme Park - PC	'Video Games', 'PC', 'Games'	by        Electronic Arts	Video Games	
B00001KUII	Half-Life: Game of the Year Edition - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00000K4MC	Roller Coaster Tycoon - PC	'Video Games', 'PC', 'Games'	by        Atari	Video Games	
B00001IVRD	StarCraft Battle Chest - PC/Mac	'Video Games', 'PC', 'Games'	Vivendi Universal	Video Games	
B00001LAE2	Gabriel Knight 3: Blood of the Sacred, Blood of the Damned - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00001LDCK	Homeworld - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00001IVLY	Starcraft	'Video Games', 'PC', 'Games'	by        Blizzard Entertainment	Video Games	
B00001LCDP	Microsoft Combat Flight Simulator: WWII Europe Series - PC	'Video Games', 'PC', 'Games'	by        Microsoft	Video Games	
B00000K4KO	Super Pad Entertainment Joypad	'Video Games', 'Super Nintendo', 'Accessories'	Unknown	Video Games	
B00001IVR9	StarCraft Expansion Pack: Brood War - PC	'Video Games', 'PC', 'Games'	by        Blizzard Entertainment	Video Games	
B00001NTSO	Sid Meier's Alpha Centauri - PC	'Video Games', 'PC', 'Games', 'Space Game', 'Technology', 'Empire Building', 'Competition', 'Survival'	by        Electronic Arts	Video Games	
B00001QED2	Tony Hawk's Pro Skater	'Video Games', 'PlayStation', 'Games'	Activision	Video Games	
B00001QEQ8	Fallout 2 - PC	'Video Games', 'PC', 'Games'	by        Interplay	Video Games	
B00001OWYW	Castlevania: Symphony of the Night	'Video Games', 'PlayStation', 'Games'	PS1	Video Games	
B00001QEQA	Baldur's Gate - PC	'Video Games', 'PC', 'Games'	by        Black Isle Studios	Video Games	
B00001SHNG	WarCraft 2 Battle.net Edition	'Video Games', 'PC', 'Games'	by        Blizzard Entertainment	Video Games	
B00001X50L	Suikoden II	'Video Games', 'PlayStation', 'Games'	Playstation	Video Games	
B00001WRJO	Extension Cable for Nintendo 64 N64 Controller	'Video Games', 'Accessories'	Retro-Bit	Video Games	
B00001X5CG	Sanitarium - PC	'Video Games', 'PC', 'Games'	by        American Softworks Corporation	Video Games	
B00001XDK5	Rugrats Search for Reptar	'Video Games', 'PlayStation', 'Games'	byPlaystation	Video Games	
B00001XDUB	Silent Hill	'Video Games', 'PlayStation', 'Games'	by        Konami	Video Games	
B00001XDKO	Unreal Tournament - PC	'Video Games', 'PC', 'Games'	by        Atari	Video Games	
B00001XDTY	Total Annihilation - PC	'Video Games', 'PC', 'Games'	by        Atari	Video Games	
B00001X50M	Metal Gear Solid	'Video Games', 'PlayStation', 'Games'	Konami	Video Games	
B00001ZT9E	Tomb Raider: The Last Revelation	'Video Games', 'PlayStation', 'Games'	Eidos	Video Games	
B00001ZWP8	Harvest Moon 64	'Video Games', 'Games'	by        Natsume	Video Games	
B00001ZWVR	Tetris Plus	'Video Games', 'PlayStation', 'Games'	Jaleco	Video Games	
B000021XYT	Nyko Universal Power Cord - Replacement Power Cord for PlayStation 4 and PlayStation 4 Slim	'Video Games', 'PlayStation', 'Accessories'	by        Nyko	Video Games	
B000021Y5P	Mortal Kombat Trilogy	'Video Games', 'PlayStation', 'Games'	Midway	Video Games	
B00001ZWMV	Legacy of Kain: Soul Reaver	'Video Games', 'Sega Dreamcast', 'Games'	Eidos	Video Games	
B000021XYY	Amber: Journeys Beyond (Jewel Case) - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B0000296O5	Final Fantasy VIII	'Video Games', 'PlayStation', 'Games'	by        SquareSoft	Video Games	
B0000296ZJ	Game Boy Color - Berry	'Video Games', 'Game Boy Color', 'Consoles'	Nintendo	Video Games	
B0000296ZD	Quake III: Arena	'Video Games', 'PC', 'Games'	by        Activision	Video Games	
B00002CF9G	Pharaoh - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00002AH2U	Gameboy Color AC Adapter	'Video Games', 'Game Boy Color'	by        High Frequency	Video Games	
B00002CF9M	Diablo 2	'Video Games', 'PC', 'Games'	by        Blizzard Entertainment	Video Games	
B00002CF96	Half-Life Expansion Pack: Opposing Force - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00002EIZN	The Crystal Key - PC/Mac	'Video Games', 'PC', 'Games'	by        Dreamcatcher Interactive	Video Games	
B000029706	Rayman	'Video Games', 'PlayStation', 'Games'	Ubisoft	Video Games	
B00002DHER	Sony Playstation DualShock Controller - Gray	'Video Games', 'PlayStation', 'Accessories'	Sony	Video Games	
B00002EIZW	Pokemon Green (Pocket Monsters Midori) Japanese Game Boy Japan Import	'Video Games', 'Game Boy Advance', 'Games'	Game Freak	Video Games	
B00002DHEV	Nintendo 64 System - Video Game Console	'Video Games', 'Consoles'	by         Nintendo	Video Games	
B00002EPZ2	Planescape: Torment - PC	'Video Games', 'PC', 'Games'	by        Black Isle Studios	Video Games	
B00002NDRY	Age of Empires 2: Age of Kings - PC	'Video Games', 'PC', 'Games'	by        Microsoft	Video Games	
B00002R28F	Medal Of Honor	'Video Games', 'PlayStation', 'Games'	Electronic Arts	Video Games	
B00002R28C	Final Fantasy Anthology - PlayStation	'Video Games', 'PlayStation', 'Games'	by        Square Enix	Video Games	
B00002S6CC	Who Wants to Be a Millionaire - PC	'Video Games', 'PC', 'Games'	by        Disney Interactive Studios	Video Games	
B00002SANH	Oregon Trail 2nd Edition	'Video Games', 'PC', 'Games'	by        Does Not Apply	Video Games	
B00002ST28	Super Mario Land	'Video Games', 'Game Boy Color', 'Games'	by        Nintendo	Video Games	
B00002ST75	The Lion King	'Video Games', 'Sega Genesis', 'Games'	by        Sega	Video Games	
B00002ST7F	Sonic the Hedgehog 2	'Video Games', 'Sega Genesis', 'Games'	by        Sega	Video Games	
B00002ST6O	Disney's Aladdin	'Video Games', 'Sega Genesis', 'Games'	by        Virgin Interactive	Video Games	
B00002STFP	Mortal Kombat Trilogy	'Video Games', 'Games'	by        Midway	Video Games	
B00002STGL	Perfect Dark	'Video Games', 'Games'	Nintendo	Video Games	
B00002STEZ	Donkey Kong 64 - Nintendo 64	'Video Games', 'Games'	Nintendo	Video Games	
B00002STGD	Bomberman 64	'Video Games', 'Games'	Nintendo	Video Games	
B00002STFZ	Nintendo 64 Controller - Blue	'Video Games', 'Accessories'	Nintendo	Video Games	
B00002STGN	Doom 64	'Video Games', 'Games'	Midway	Video Games	
B00002STJO	Oddworld: Abe's Exoddus	'Video Games', 'PlayStation', 'Games'	GT Interactive Software	Video Games	
B00002ST27	Super Mario Land 2: 6 Golden Coins	'Video Games', 'Game Boy Color', 'Games'	by        Nintendo	Video Games	
B00002STFN	Killer Instinct Gold	'Video Games', 'Games'	by        SPIG	Video Games	
B00002STFH	Yoshi's Story	'Video Games', 'Games'	Nintendo	Video Games	
B00002STI2	Wave Race 64	'Video Games', 'Games'	Nintendo	Video Games	
B00002STNQ	Tom Clancy's Rainbow Six Rogue Spear - PC	'Video Games', 'PC', 'Games'	by        Red Storm Entertainment	Video Games	
B00002STFD	Star Wars: Shadows of the Empire	'Video Games', 'Games'	LucasArts	Video Games	
B00002STXN	The Legend of Zelda: A Link to the Past	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002STH0	Diddy Kong Racing	'Video Games', 'Games'	Nintendo	Video Games	
B00002STX3	Disney's Aladdin	'Video Games', 'Super Nintendo', 'disney', 'aladdin', 'super nintendo', 'kids game', 'rated e'	by        Capcom	Video Games	
B00002STGR	Turok: Dinosaur Hunter	'Video Games', 'Games'	Nintendo	Video Games	
B00002STPG	Suikoden	'Video Games', 'PlayStation', 'Games'	Konami	Video Games	
B00002STXQ	Super Mario World	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002STYS	Mortal Kombat	'Video Games', 'Super Nintendo', 'Games', 'SNES'	by        Acclaim	Video Games	
B00002STXG	Donkey Kong Country 3: Dixie Kong's Double Trouble - Nintendo Super NES	'Video Games', 'Super Nintendo', 'Games', 'Play as Dixie Kong or Kiddy Kong on a mission to rescue Diddy Kong and Donkey Kong'	by        Nintendo	Video Games	
B00002SU5C	Star Trek Voyager:  Elite Force - PC	'Video Games', 'PC', 'Games'	by        Activision	Video Games	
B00002SU5A	Vampire: The Masquerade Redemption - PC	'Video Games', 'PC', 'Games'	by        Activision	Video Games	
B00002STXL	Jurassic Park	'Video Games', 'Super Nintendo', 'Games'	Nintendo	Video Games	
B00002STXS	Mega Man X	'Video Games'	by        Capcom	Video Games	
B00002SVG3	Super Mario RPG: Legend of the Seven Stars	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SU5D	Star Trek: Armada - PC	'Video Games', 'PC', 'Games'	by        Activision	Video Games	
B00002SUD0	Street Fighter II' Special Champion Edition	'Video Games', 'Sega Genesis', 'Games'	by        Capcom	Video Games	
B00002SVG2	Donkey Kong Country 2: Diddy's Kong Quest	'Video Games'	by        Rareware	Video Games	
B00002SVFR	Super Mario Kart	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SVNY	Sonic the Hedgehog	'Video Games', 'Sega Genesis', 'Games'	by        Sega	Video Games	
B00002SVFQ	F-Zero	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SVFV	Super Metroid	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SVEO	Tetris	'Video Games', 'Game Boy'	by        Nintendo	Video Games	
B00002SVFX	Illusion of Gaia	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SVFZ	Donkey Kong Country	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SVEM	Metroid II	'Video Games', 'Game Boy', 'Games'	by        Nintendo	Video Games	
B00002SVFM	Killer Instinct	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SUOV	Max Payne - PC	'Video Games', 'PC', 'Games'	by        Rockstar Games	Video Games	
B00002SVYB	Secret of Evermore	'Video Games', 'Super Nintendo', 'Games'	SquareSoft	Video Games	
B00002ST3U	The Legend of Zelda: Link's Awakening	'Video Games', 'Game Boy', 'Games'	by        Nintendo	Video Games	
B00002SWBG	The Lion King	'Video Games', 'Super Nintendo', 'Games'	Disney Interactive Studios	Video Games	
B00002SVG0	Super Mario World 2: Yoshi's Island	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B00002SWCO	Ms. Pac-Man	'Video Games', 'Super Nintendo', 'Games'	William's Entertainment Inc.	Video Games	
B00002Z72E	Myst: Masterpiece Edition - PC	'Video Games', 'PC', 'Games'	by        Ubisoft	Video Games	
B00002SVWG	Final Fantasy Tactics	'Video Games', 'PlayStation', 'Games'	by        SquareSoft	Video Games	
B000031KJL	Pokemon Pinball	'Video Games', 'Game Boy Color', 'Games'	by        Nintendo	Video Games	
B000031KJM	Pokemon Snap	'Video Games', 'Games'	Nintendo	Video Games	
B000034DC6	Twisted Metal 4	'Video Games', 'PlayStation', 'Games'	by        989 Studios	Video Games	
B000034DC7	Gran Turismo 2	'Video Games', 'PlayStation', 'Games'	SCEI	Video Games	
B000034DMG	Resident Evil 2	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B000035XB0	Kirby's Dream Land	'Video Games', 'Game Boy', 'Games'	by        Nintendo	Video Games	
B000035XKJ	Sonic &amp; Knuckles	'Video Games', 'Sega Genesis', 'Games'	by        Sega	Video Games	
B000035XR9	Sega Genesis Core System 2 - Video Game Console	'Video Games', 'Sega Genesis', 'Consoles'	by        Sega	Video Games	
B000035Y08	Final Fantasy: Mystic Quest	'Video Games', 'Super Nintendo', 'Games'	by        SquareSoft	Video Games	
B000035Y0H	Game Genie Video Game Enhancer	'Video Games', 'Super Nintendo', 'Accessories'	by        Galoob Toys	Video Games	
B000035XLL	Mortal Kombat	'Video Games', 'Sega Genesis', 'Games'	by        arena	Video Games	
B000035Y09	Final Fantasy II	'Video Games', 'Super Nintendo', 'Games'	by        Square	Video Games	
B000035Y2Q	Secret of Mana	'Video Games', 'Super Nintendo', 'Games'	by        SquareSoft	Video Games	
B000035Y3N	Teenage Mutant Ninja Turtles IV: Turtles in Time	'Video Games', 'Super Nintendo'	by        Nintendo	Video Games	
B000035Y4P	Final Fantasy III	'Video Games', 'Super Nintendo', 'Games'	by        SquareSoft	Video Games	
B000035Y63	Earthbound	'Video Games', 'Super Nintendo', 'Games'	by        Nintendo	Video Games	
B000034DCF	CTR: Crash Team Racing	'Video Games', 'PlayStation', 'Games'	Sony	Video Games	
B000035Y6N	Chrono Trigger	'Video Games', 'Super Nintendo', 'Games'	by        SquareSoft	Video Games	
B000035XX3	Dragon Ball GT: Final Bout	'Video Games', 'PlayStation', 'Games', 'Fighting game based on popular anime series', 'Trainable character development'	by        Bandai	Video Games	
B000035Y6C	Super Nintendo Controller	'Video Games', 'Super Nintendo', 'Accessories'	by        Nintendo	Video Games	
B000035Y7H	Street Fighter II	'Video Games', 'Super Nintendo', 'Games'	Capcom	Video Games	
B000034DC2	Spyro 2: Ripto's Rage	'Video Games', 'PlayStation', 'Games'	by        Sony Computer Entertainment	Video Games	
B000035Y6D	Super Nintendo Console (SNES System)	'Video Games', 'Super Nintendo', 'Consoles', 'Stereo sound'	by        Nintendo	Video Games	
B000035Y4T	Mortal Kombat II	'Video Games'	by        Acclaim	Video Games	
B000035Y6B	JINHEZO AV Cable for Nintendo N64 / GameCube	'Video Games', 'Accessories'	JINHEZO	Video Games	
B000038ABO	Parasite Eve	'Video Games', 'PlayStation', 'Games'	Square Enix	Video Games	
B000035Y5G	Tetris &amp; Dr. Mario - 2 Game Cartridge	'Video Games', 'Super Nintendo', 'Games'	Nintendo	Video Games	
B000035Y38	Star Fox	'Video Games'	by        Nintendo	Video Games	
B000035XUZ	Resident Evil - PlayStation	'Video Games', 'PlayStation', 'Games'	by        Capcom	Video Games	
B000038IFX	Xenogears - PlayStation	'Video Games', 'PlayStation', 'Games'	by        Square Enix	Video Games	
B000038A6U	Namco Museum 64	'Video Games', 'Games'	Namco	Video Games	
B00003OPES	Deus Ex - PC	'Video Games', 'PC', 'Games'	by        Square Enix	Video Games	
B00003OTI3	Pokemon Stadium	'Video Games', 'Games'	Nintendo	Video Games	
B000040OEI	The Sims - The People Simulator from the Creator of SimCity	'Video Games', 'PC', 'Games'	by        Electronic Arts	Video Games	
B000040OEH	Final Fantasy VIII	'Video Games', 'PC', 'Games'	by        SquareSoft	Video Games	
B000046S41	Nintendo 64 Transfer Pak	'Video Games', 'Games'	Nintendo	Video Games	
B000046Q7Q	Mario Party 2	'Video Games', 'Games'	Nintendo	Video Games	
B0000488VP	Crazy Taxi	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B000047GEI	Pokemon: Yellow Version - Special Pikachu Edition	'Video Games', 'Game Boy Advance', 'Games', 'Game Boy Pokemon Yellow Version Special Pikachu Edition', 'Brand New Save Battery Professionally Installed'	by        Nintendo	Video Games	
B00004DITJ	Shogun: Total War - PC	'Video Games', 'PC', 'Games'	by        Electronic Arts	Video Games	
B00004KDF9	Fallout	'Video Games', 'PC', 'Games'	by        Interplay	Video Games	
B00004KHB7	Baldur's Gate II:  Shadows of Amn	'Video Games', 'PC', 'Games'	by        Interplay	Video Games	
B00004KHB3	Icewind Dale - PC	'Video Games', 'PC', 'Games'	by        Vivendi Universal	Video Games	
B00004NS0Z	Thief II: The Metal Age	'Video Games', 'PC', 'Games'	by        Square Enix	Video Games	
B00004NS01	EverQuest: The Ruins of Kunark - PC	'Video Games', 'PC', 'Games'	by        Sony	Video Games	
B00004R8XR	Tenchu 2	'Video Games', 'PlayStation', 'Games'	Activision	Video Games	
B00004R8WH	Ogre Battle 64	'Video Games', 'Games'	Atlus	Video Games	
B00004R9I4	Nintendo 64 System Video Game Console Jungle Green	'Video Games'	by        Nintendo	Video Games	
B00004R9IB	Kirby 64: The Crystal Shards	'Video Games'	Nintendo	Video Games	
B00004R9IG	Syphon Filter 2	'Video Games', 'PlayStation', 'Games'	Sony Computer Entertainment	Video Games	
B00004RBQX	Lunar 2: Eternal Blue Complete	'Video Games', 'PlayStation', 'Games'	Working Designs	Video Games	
B00004RFBE	Hitman: Codename 47	'Video Games', 'PC', 'Games'	by        Square Enix	Video Games	
B00004S1DZ	Sony PlayStation 2 Console - Black	'Video Games', 'Consoles'	by        Sony	Video Games	
B00004S3AI	Populous:  The Beginning - PC	'Video Games', 'PC', 'Games', 'Action strategy game that lets you control nature'	by        Electronic Arts	Video Games	
B00004S99R	Shenmue	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B00004S9AB	Star Wars Episode I: Jedi Power Battles	'Video Games', 'PlayStation', 'Games'	Lucas Entertainment	Video Games	
B00004S99O	World Series Baseball 2K1	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B00004S9A0	Donkey Kong Country	'Video Games', 'Game Boy Color', 'Games'	by        SPIG	Video Games	
B00004S99S	Jet Grind Radio	'Video Games', 'Sega Dreamcast', 'Games'	Sega	Video Games	
B00004S9AD	MediEvil 2	'Video Games', 'PlayStation', 'Games'	Sony	Video Games	
B00004S9AA	Nintendo 64 Rumble Pak (NUS-013)	'Video Games'	Nintendo	Video Games	
B00004S9AF	The Legend of Dragoon - Playstation	'Video Games', 'PlayStation', 'Games'	Sony Computer Entertainment	Video Games	
B00004SA3J	Visual Memory Unit - Blue	'Video Games', 'Sega Dreamcast', 'Accessories', 'Save your Sega Dreamcast game data and transfer between VMU devices', 'Play downloadable games from compatible Sega Dreamcast game discs', 'Acts as a second screen for extra content in many Sega Dreamcast games by fitting right into the Sega Dreamcast game controller', 'For use only with Sega Dreamcast entertainment consoles'	by        Hyperkin	Video Games	
B00004SPW9	Vagrant Story	'Video Games', 'PlayStation', 'Games'	SquareSoft	Video Games	
B00004SR5M	Virtua Tennis - Sega Dreamcast	'Video Games', 'Sega Dreamcast', 'Games'	by        Sega	Video Games	
B00004SQPD	PlayStation 2 Console (Slim Line Version 1)	'Video Games', 'Consoles'	by        Sony	Video Games	
B00004SVNS	Bubble Bobble - Nintendo NES	'Video Games', 'Nintendo NES', 'Games', 'Card Text'	by        Taito	Video Games	
B00004SVOG	Nintendo NES Controller	'Video Games', 'Nintendo NES', 'Accessories'	by        Nintendo	Video Games	
B00004SVNB	Battletoads	'Video Games', 'Nintendo NES', 'Games'	by        Tradewest	Video Games	
B00004SVSZ	Paperboy	'Video Games', 'Nintendo NES', 'Games'	by        Mindscape	Video Games	
B00004SVV7	Super Mario Bros.	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVV8	Super Mario Bros. 2	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVYE	Zelda II: The Adventure of Link	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVXV	Kung Fu	'Video Games', 'Nintendo NES', 'Games', 'Card Text'	by        Nintendo	Video Games	
B00004SVO2	Castlevania III: Dracula's Curse	'Video Games', 'Nintendo NES', 'Games'	by        Konami	Video Games	
B00004SVVP	Tecmo Super Bowl	'Video Games', 'Nintendo NES', 'Games'	by        Tecmo	Video Games	
B00004SVVT	Tetris	'Video Games', 'Nintendo NES', 'Games', 'Tetris Nintendo NES', 'Kids To Adults'	by        Nintendo	Video Games	
B00004SVXA	NES Advantage Joystick	'Video Games', 'Nintendo NES', 'Accessories'	by        Nintendo	Video Games	
B00004SVYQ	Nintendo Entertainment System Control Deck	'Video Games', 'Nintendo NES', 'Consoles'	by        Nintendo	Video Games	
B00004SVXP	Dr. Mario	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVPT	Friday the 13th	'Video Games', 'Nintendo NES', 'Games', 'Battle Jason and other blood thirsty ghouls as you try to save the campers'	by        LJN	Video Games	
B00004SVXW	The Legend of Zelda	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVYF	Metroid	'Video Games', 'Nintendo NES', 'Games'	by        Nintendo	Video Games	
B00004SVXQ	Final Fantasy	'Video Games', 'Nintendo NES', 'Games', 'Classic fantasy RPG', 'Save the world from darkness', 'Direct a party of four characters in the fight against evil', 'For one player'	by        Nintendo	Video Games	
B00004SWLT	Banjo-Tooie	'Video Games', 'Games'	Nintendo	Video Games	
B00004SVSS	Ninja Gaiden	'Video Games', 'Nintendo NES', 'Games'	by        Tecmo	Video Games	
B00004SVV9	Super Mario Bros. 3	'Video Games', 'Nintendo NES', 'Games', 'Classic action game'	by        Nintendo	Video Games	
B00004SVS3	Mega Man 2 - Nintendo NES	'Video Games', 'Nintendo NES', 'Games'	by        Capcom	Video Games	
