item_id:token	item_name:token_seq	address:token_seq	city:token_seq	state:token	postal_code:token	latitude:float	longitude:float	item_stars:float	item_review_count:float	is_open:float	categories:token_seq
xzj6q131hJE59tBkhe3Gag	Crazy Jim's	4041 N 15th Ave	Phoenix	AZ	85015	33.4943416	-112.0910682	4.0	221	1	Mediterranean, Greek, Sandwiches, American (New), Breakfast & Brunch, Restaurants, Pets, Veterinarians
5eV8oUGdBXylwB7HeaDFOA	The Great Greek	1275 W Warm Springs Rd, Ste 160	Henderson	NV	89014	36.0555174045	-115.0416518312	4.5	1119	1	Diners, Greek, Mediterranean, Restaurants
M-ALY7pit2w_TecfN0vCAg	Flower Child	11508 Clifton Blvd	Cleveland	OH	44102	41.487344	-81.7666261	4.5	51	1	Thrift Stores, Shopping, Fashion, Antiques, Used, Vintage & Consignment
UByM7N0mF-ylIGUuIWHCtA	Sullivan's Steakhouse	1928 South Blvd, Ste 200	Charlotte	NC	28203	35.2101676933	-80.8599308917	3.5	306	1	Steakhouses, Bars, Restaurants, Cocktail Bars, Seafood, Nightlife
FAEO3WHP25djJsPDMwsk7w	Apple Store	1985 Festival Plz Dr	Las Vegas	NV	89135	36.150073648	-115.3332531454	3.0	246	1	Local Services, IT Services & Computer Repair, Mobile Phones, Electronics, Computers, Shopping
dvbcUnKv2awsIxog7dO4vw	Hong Kong Bistro Cafe	472 Dundas Street W	Toronto	ON	M5T 1G8	43.6534452	-79.3968608	4.0	95	1	Cafes, Chinese, Restaurants
uLyeGUKKi_hDlnhEEqsDPA	Midoco Art & Office Supplies	555 Bloor Street W	Toronto	ON	M5S 1Y6	43.6650594	-79.4104068	3.5	53	1	Shopping, Art Supplies, Arts & Crafts, Office Equipment
BmV0ZAdepydSujYJH5_EQw	Saryo Cafe	5051 Yonge Street	Toronto	ON	M2N 5P2	43.7670333199	-79.4119266048	4.0	111	1	Food, Desserts, Cafes, Restaurants
TFpiquSDJjJET6EZtpcv9g	Gloss It Detail Studio	5032 W Post Rd	Las Vegas	NV	89118	36.0761798	-115.209244	4.5	77	1	Car Wash, Auto Customization, Automotive, Auto Detailing, Auto Parts & Supplies
Os1n1_idfw9vv9kwULGJnQ	Island Style Restaurant	3909 W Sahara Ave, Ste 1	Las Vegas	NV	89102	36.1440350372	-115.1933891745	4.5	899	1	Restaurants, Korean, Japanese, Asian Fusion, Hawaiian
uZ5VtyOupj3lbUjAHfwpMg	Green Grotto Tea Room	7030 Warden Avenue	Markham	ON	L3R 5Y3	43.8206627	-79.3265964	3.5	64	0	Food, Specialty Food, Coffee & Tea, Tea Rooms, Restaurants
VeFqptSzekFAc3FZOpi81Q	Alexander Michael's	401 W 9th St	Charlotte	NC	28202	35.2336176	-80.8407881	4.5	417	1	Nightlife, Bars, Sports Bars, Pubs, Cajun\/Creole, Restaurants, Comfort Food, American (Traditional), Local Flavor
wJY74R0zAgjxvBf-d4gm9g	Kelly's at Southbridge	7117 E 6th Ave	Scottsdale	AZ	85251	33.4987464	-111.9274236	3.5	315	1	American (New), Restaurants, Lounges, Salad, Dance Clubs, Burgers, Bars, Nightlife
Cdywb13_07M1_g3U85VKTA	Hong Kong Asian Diner	9880 S Rural Rd	Tempe	AZ	85284	33.32217891	-111.9293281809	3.5	132	1	Food, Chinese, Cantonese, Restaurants, Buffets, Asian Fusion
6TvB1PZCY1Ap2S-yNJPs4w	Hooters Restaurant	115 E Tropicana Ave	Las Vegas	NV	89109	36.100561	-115.167671	2.5	226	1	Chicken Wings, Sports Bars, Bars, Nightlife, Burgers, American (Traditional), Restaurants, American (New)
ysJo5Jdo29XOBCnKrbUKWg	Paris 66	6018 Centre Ave	Pittsburgh	PA	15206	40.459956	-79.92427	3.5	254	1	Breakfast & Brunch, Gluten-Free, Brasseries, Food, Restaurants, French, American (New), Creperies
62HlThvB9Rm2QFu_OdXe7w	Rice Paper	2221 N 7th St	Phoenix	AZ	85006	33.4719884	-112.0648068	3.5	445	0	Vietnamese, Restaurants
gxfvv12xZo81YcndEusSLQ	La Casa Cigars & Lounge	430 S Rampart Blvd, Ste 170	Las Vegas	NV	89145	36.1666888	-115.28721	4.0	155	1	Arts & Entertainment, Bars, Music Venues, Nightlife, Tobacco Shops, Shopping
Ph7iO3to0eyvZKqQ1kJ4PA	Pittsburgh Winery	2710 Penn Ave	Pittsburgh	PA	15222	40.4572247932	-79.975274881	4.5	90	1	Wine Bars, Nightlife, Arts & Entertainment, Bars, Event Planning & Services, Food, Wineries, Wine Tasting Room, Venues & Event Spaces, Music Venues
PM0A7ZgbxvtbRCj931PbyQ	Shabu Grill	1263 E Silverado Ranch, Ste 106	Las Vegas	NV	89183	36.013144	-115.136143	3.5	288	0	Do-It-Yourself Food, Hot Pot, Food, Korean, Restaurants, Asian Fusion, Japanese, Chinese
TqUFwP0mQJBPFHql0tLVsQ	The Original Gyro	3611 Library Rd	Pittsburgh	PA	15234	40.3649005	-80.017896	4.5	49	1	Greek, Restaurants
DyVteo8Blf5gEfC9QbJE9A	Arizona Charlies Decatur	740 S Decatur Blvd	Las Vegas	NV	89107	36.1635421862	-115.2074270477	2.5	233	1	Casinos, Event Planning & Services, Hotels & Travel, Restaurants, Hotels, Arts & Entertainment
UIwxNIaqnxcLBr1f3xSTfA	Ashley HomeStore	661 Mall Ring Circle	Henderson	NV	89015	36.064472	-115.0448383	2.5	174	1	Furniture Stores, Shopping, Home & Garden, Mattresses, Home Decor
oZcbn7ENit23xbCsyu9xbA	Yasu Sushi Bistro	4316 E Cactus Rd	Phoenix	AZ	85032	33.599378479	-111.9894767046	4.0	461	1	Sushi Bars, Restaurants, Japanese, Seafood Markets, Food, Specialty Food
tvYID0arhN-shKGUrC1Wsg	Copacabana Brazilian Steak House	150 Eglinton Avenue E	Toronto	ON	M4P 1E8	43.7078631	-79.394156	3.5	346	1	Latin American, Restaurants, Steakhouses, Brazilian, Food, Beer, Wine & Spirits
-WVF5DKZeEWlMK8Cucto-A	Savoy	2623 Penn Ave	Pittsburgh	PA	15222	40.4554975	-79.9780389	3.5	149	1	Restaurants, Bars, Nightlife, American (Traditional), Seafood, American (New), Wine Bars
TlCEWYAfcOudP7j6zupYeQ	Ulta Beauty	9280 W Northern Ave	Glendale	AZ	85345	33.554293	-112.258826	2.0	55	1	Shopping, Beauty & Spas, Cosmetics & Beauty Supply, Skin Care, Hair Salons
OmZ_Ub_0egPc6eDPD1OWSw	Athens Restaurant	707 Danforth Avenue	Toronto	ON	M4J 1L2	43.6789721	-79.3434527	4.0	81	1	Greek, Event Planning & Services, Caterers, Restaurants
1bXC3NewRsBL1gecvGXA-g	Jackalope Jacks	1936 E 7th St	Charlotte	NC	28204	35.2190900028	-80.8137201145	3.5	154	0	Restaurants, Bars, Sports Bars, Burgers, Nightlife, American (Traditional), Breakfast & Brunch
oCvxJBOs-Mbg-4oanPO7lQ	Pita Pit	2763 East Carson St	Pittsburgh	PA	15203	40.426647	-79.965902	3.5	57	1	Fast Food, Greek, Breakfast & Brunch, Restaurants, Sandwiches, Mediterranean
zm-nB9xWL0RWZ-zoL7JNuQ	Starbucks	9701 W. Flamingo Road, #1	Las Vegas	NV	89147	36.1146371243	-115.3045221098	3.0	101	1	Food, Coffee & Tea
2GmGT-7QjowR1ihup3FbVA	Haji-Baba	1513 E Apache Blvd	Tempe	AZ	85281	33.4142711	-111.9134509	4.5	869	1	Greek, Grocery, Mediterranean, Restaurants, Middle Eastern, International Grocery, Food
H464UiJ5c7q5dAJ14h731A	Gus	38 Rue Beaubien E	Montréal	QC	H2S 1P8	45.5306384	-73.6080747	4.5	83	1	Seafood, Canadian (New), Restaurants, Steakhouses, French
Q-ZznSrHKOHdSFrK7dEVwQ	HOME Tasting Room	110 8th Avenue Southwest, Main Fl	Calgary	AB	T2P 1B3	51.0457090792	-114.0638518561	4.0	48	0	Canadian (New), Tapas Bars, American (New), Wine Bars, Seafood, Restaurants, Bars, Nightlife
LEASX4wn1U1TAmwQfsDtIw	Slots A Fun	2880 S Las Vegas Blvd	Las Vegas	NV	89109	36.1367386883	-115.1630901957	3.0	134	1	Arts & Entertainment, Active Life, Hotels, Hotels & Travel, Event Planning & Services, Casinos, Amusement Parks
d_q4avZYM1sOlQP7noJKVg	El Güero Canelo	5131 W McDowell Rd	Phoenix	AZ	85035	33.4656271	-112.1703599	3.5	198	1	Mexican, Restaurants, Hot Dogs
iIe6PLxsZDVyrKf4ziKxyw	Ontario Street Cafe	2053 Ontario St	Cleveland	OH	44115	41.4985414	-81.6921605	4.5	90	0	Sandwiches, American (Traditional), Bars, Nightlife, Cafes, Restaurants
3z6IFHo3pPU5jaKtVyAqUQ	Cheyenne Dental Group	10470 W Cheyenne Ave, Ste 110	Las Vegas	NV	89129	36.2193049976	-115.3257075552	4.5	114	1	Oral Surgeons, Health & Medical, Dentists, Doctors, General Dentistry, Cosmetic Dentists, Orthodontists
ZspvlO5Dvtd517YhVLJJ_A	Tomo Sushi & Hibachi	1293 W 9th St	Cleveland	OH	44113	41.499484	-81.7004539	3.0	239	1	Sushi Bars, Restaurants, Japanese, Steakhouses
OD09pm-MzynigAvD5KoGPA	Maskadores Taco Shop	818 W Broadway Rd	Tempe	AZ	85282	33.407829	-111.9508984	4.5	608	1	Mexican, Restaurants
XnJeadLrlj9AZB8qSdIR2Q	Joël  Robuchon	3799 Las Vegas Blvd S	Las Vegas	NV	89109	36.102657989	-115.1705036062	4.5	1014	1	French, Restaurants
tDYcVluqZwieulc1iqxGXg	Autumn Court Chinese Restaurant	3752 E Indian School Rd	Phoenix	AZ	85018	33.4954047	-112.0000394	3.5	309	1	Japanese, Sushi Bars, Restaurants, Chinese, Caterers, Event Planning & Services
kBJfBVaXJtPEKLTov1hJdQ	Reathrey Sekong	1312 E Indian School Rd	Phoenix	AZ	85014	33.4948878	-112.0535765	4.5	513	1	Barbeque, Cambodian, Noodles, Asian Fusion, Restaurants
nDn2h-_c7Xk4UwM0aiXZlw	Mezes	456 Danforth Avenue	Toronto	ON	M4K 1P4	43.678004	-79.3502135	4.0	198	1	Mediterranean, Greek, Restaurants
U9aA5H13y7t9xWnoQslV0Q	Beijing Noodle No. 9	3570 Las Vegas Blvd S	Las Vegas	NV	89109	36.116165	-115.175067	2.5	1000	1	Food, Restaurants, Chinese
-VYYKJBVTX1BtaJU4eFJ8A	Teriyaki Madness	43 S Stephanie St, Ste 160	Henderson	NV	89012	36.0274328	-115.0492526	3.5	163	1	Asian Fusion, Restaurants, Japanese, Hawaiian
ItqPtxnayraXSlBS0EMOgg	MTO Café	500 S Main St	Las Vegas	NV	89101	36.1669213	-115.1498378	4.5	1177	1	Breakfast & Brunch, Cafes, Restaurants, Comfort Food, Food
KPm5Q_edkqfD6TNSX87rVg	JOEY Crowfoot	50 Crowfoot Way NW	Calgary	AB	T3G 4C8	51.124715	-114.2023645341	3.0	57	1	Greek, Mediterranean, Bars, American (New), Lounges, Nightlife, Canadian (New), Restaurants
8edTRAKWTzd0B_sfb8ekeQ	Aladdin's Eatery	630 Washington Rd	Pittsburgh	PA	15228	40.3818982582	-80.0442885177	4.0	135	1	Vegetarian, Restaurants, Food, Ethnic Food, Lebanese, Middle Eastern, Specialty Food, Vegan, Mediterranean
9Eghhu_LzEJgDKNgisf3rg	Scaddabush Italian Kitchen & Bar	382 Yonge Street, Unit #7	Toronto	ON	M5B 1S8	43.659095	-79.382915	3.5	456	1	Wine Bars, Nightlife, Restaurants, Bars, Beer, Wine & Spirits, Italian, Food, Specialty Food
hIUKufhwR6Ifn7bi0-phLA	Baguette Cafe	8359 W Sunset Rd, Ste 100	Las Vegas	NV	89113	36.066865	-115.273241	4.5	1284	1	Delis, Vegan, Restaurants, French, Food, Coffee & Tea, Breakfast & Brunch, Sandwiches, Cafes
wQ9_9QDNw3OPUo55sJUr9A	Loving Hut	140 Spadina Avenue, Suite A101	Toronto	ON	M5V 2L4	43.648187	-79.396566	3.5	62	0	Restaurants, Vegan, Asian Fusion
e13SEvJud_vgeDR_doL4sQ	Hussong's Cantina Las Vegas	3930 S Las Vegas Blvd, Ste 121B	Las Vegas	NV	89119	36.094254	-115.176019	4.0	1050	1	Restaurants, Bars, Nightlife, Mexican, Burgers, American (New), Beer, Wine & Spirits, Vegetarian, Food, Vegan
FMo1PJTUV5OpyiZlnTM1Rg	Sharky's Woodfired Mexican Grill	8975 W Charleston Blvd, Ste 140	Las Vegas	NV	89117	36.157851	-115.290714	4.0	211	0	Restaurants, Mexican
ZFyJ83LJkkO1dP82kzXKNg	Raising Cane's	1120 E Flamingo Rd	Las Vegas	NV	89119	36.1149825	-115.1397932	4.0	460	1	American (Traditional), Fast Food, Southern, Chicken Wings, Restaurants, Food, Chicken Shop
oS96aJIHFWcFAlGHKKXjaw	La Gourmandine Bakery & Pastry Shop	4605 Butler St	Pittsburgh	PA	15201	40.4730974	-79.9588647	4.5	432	1	French, Restaurants, Bakeries, Food, Patisserie\/Cake Shop
wkChwNgC7YSc8KZgXiGT0Q	Skyfall Lounge	Delano Las Vegas, 3940 S Las Vegas Blvd	Las Vegas	NV	89119	36.093007763	-115.1772339933	4.0	216	1	Champagne Bars, Cocktail Bars, Lounges, Nightlife, Bars
5nZVVPO_cYH9aQeClTP9zA	Sauce Pizza & Wine	7135 E Camelback Rd, Ste 160	Scottsdale	AZ	85251	33.5010512566	-111.9284895333	3.5	302	1	Italian, Gluten-Free, Pizza, Beer, Wine & Spirits, Restaurants, Food, Salad
A_CXVdyJCE6nyxwbd6fNwg	Libertine Social	3950 S Las Vegas Blvd	Las Vegas	NV	89119	36.091256278	-115.1767653721	4.0	349	1	Nightlife, Bars, American (New), Restaurants, Cocktail Bars, Food, Beer, Wine & Spirits, Gastropubs
m_CqRpEZ2XDH3fp-KFAycQ	Sushi Mon	8320 W Sahara Ave, Ste 180	Las Vegas	NV	89117	36.1435952655	-115.2798899048	3.5	262	0	Seafood, Buffets, Restaurants, Japanese, Sushi Bars
p0iEUamJVp_QpaheE-Nz_g	South Point Hotel, Casino & Spa	9777 S Las Vegas Blvd	Las Vegas	NV	89183	36.0113572399	-115.1757752049	3.5	1818	1	Active Life, Bowling, Cinema, Arts & Entertainment, Hotels & Travel, Casinos, Beauty & Spas, Day Spas, Hotels, Event Planning & Services
TxNeo206T0jMvRRQ4nKSIg	Wok Of Fame	7700 Hurontario Street, Unit 602	Brampton	ON	L6Y 4M3	43.6584614	-79.726643	3.0	193	1	Japanese, Restaurants, Buffets, Chinese
QARy4UUOQogMjDp9jP-YVg	Searsucker	6900 E Camelback Rd	Scottsdale	AZ	85251	33.502771	-111.932108	3.5	162	0	Seafood, Italian, American (New), Restaurants
Mrqk1ydkvgKtlxrExCv6gQ	Diana's Oyster Bar and Grill	2105 Lawrence Avenue E	Scarborough	ON	M1R 2Z4	43.7456934	-79.2916003	3.5	171	1	American (Traditional), Nightlife, Restaurants, Seafood, Bars
cTJjTKz2huGZ-ElScC2pSw	Windsor	5223 N Central Ave	Phoenix	AZ	85012	33.513575	-112.073381	4.0	1207	1	Bars, Breakfast & Brunch, Pubs, American (New), Restaurants, Nightlife, Food, Beer, Wine & Spirits
OjnRf8yDGEBCoUDdchSViw	Jamburritos Cajun Grille - Express	6845 W Peoria Ave	Peoria	AZ	85345	33.581281	-112.206944	4.5	103	1	Restaurants, Cajun\/Creole, Caterers, Event Planning & Services, Food, Food Trucks, Mexican, Street Vendors
T8jY7FB0JEK62CwOeXBa9w	The Arts Factory	107 E Charleston Blvd	Las Vegas	NV	89104	36.1591416	-115.1526478	4.0	54	1	Arts & Entertainment, Shopping, Art Galleries
cUGFEQOu3_VsOpbvHGx8ZQ	Sweet Republic	6054 N 16th St	Phoenix	AZ	85016	33.5250188613	-112.0480517965	4.5	366	1	Ice Cream & Frozen Yogurt, Food
FaCxpKgHPgUO9vqyOny5CA	St-Viateur Bagel	158 Rue Saint Viateur O	Montréal	QC	H2T 2L3	45.523789	-73.600587	4.5	152	1	Bagels, Food, Restaurants, Delis
gh6__q2WXFuyN8gt6VAnWw	Vila Algarve	6120 W Tropicana Ave, Ste A 11\/12	Las Vegas	NV	89103	36.1016863464	-115.2255495006	4.5	192	0	Portuguese, French, Restaurants, Seafood, Steakhouses, Greek
A7waf6G3cvnLfAqKeLL8DA	Buca	604 King Street W	Toronto	ON	M5V 1M6	43.6445122	-79.4003621	4.0	422	1	Restaurants, Italian
1d6c6Q2j2jwVzBfX_dLHlg	Cowboy Ciao	7133 E Stetson Dr, Ste 1	Scottsdale	AZ	85251	33.4992151	-111.9274164	4.0	803	0	Mexican, American (New), American (Traditional), Restaurants
GxWEpPvDAxuzaSNNmR4Umw	Banh Mi Thai Tai	615 17 Avenue SW	Calgary	AB	T2S 0B3	51.0375502	-114.0751507	4.0	49	1	Sandwiches, Vietnamese, Fast Food, Restaurants, Asian Fusion, Thai
HOGdBz2w9VZbw2yyM-WA3g	The Mugshot Tavern	1729 Bloor Street W	Toronto	ON	M6P 1B2	43.6545477	-79.4595993	4.0	91	1	Nightlife, Bars
lpel3pRFAzlow7u2TJMz4Q	Humble Wine Bar	15400 Detroit Ave	Lakewood	OH	44107	41.4850751	-81.803588	4.0	153	1	Food, Tapas\/Small Plates, Vegan, Desserts, Restaurants, Wine Bars, Bars, Lounges, Nightlife, Pizza
LVyoW7-2XMnb1avqWNZ3yw	Los Olivos Norte	15544 N Pima Rd	Scottsdale	AZ	85260	33.6271613	-111.8914566	3.0	105	0	Mexican, Restaurants
mQqdGjf2YQSorUooA3zdSQ	Butters Pancakes & Café	14795 N Northsight Blvd	Scottsdale	AZ	85260	33.6198755	-111.8972415	4.5	521	1	American (New), Restaurants, Sandwiches, Cafes, Creperies, American (Traditional), Pancakes, Breakfast & Brunch
nqTvE7ivdU23oUWdI01tOA	Under The Table Restaurant	568 Parliament Street	Toronto	ON	M4X 1P8	43.6674228	-79.3694556	4.5	392	0	Comfort Food, Caribbean, Breakfast & Brunch, Restaurants, Food
P8IsTiHq5Hesa6UPL604ww	Los Taquitos	4747 E Elliot Rd, Ste 17	Phoenix	AZ	85044	33.347971	-111.9821513	4.0	886	1	Mexican, Breakfast & Brunch, Restaurants
T2tEMLpTeSMxLKpxwFdS3g	Cabo Fish Taco	3201 N Davidson St	Charlotte	NC	28205	35.2471884	-80.8058116	4.0	1247	1	Restaurants, Seafood, Mexican, Latin American, Tex-Mex
i8ijGG8LXmFOWTz-Haej7w	Charanda Mexican Grill & Cantina	1505 Carolina Place Dr	Fort Mill	SC	29708	35.034009	-80.966727	3.0	118	1	Mexican, Restaurants
_jT1b-OdicvJ9LyKj_M1Ww	Liberty Burgers & Wings	144 Main Street N	Markham	ON	L3P 5T3	43.8792921	-79.2611654	3.0	82	0	Nightlife, Pubs, Bars, Beer, Wine & Spirits, Restaurants, Chicken Wings, Burgers, Food
D3qtK1fCv9aUumrG07K6LQ	Modern Lighting	5016 N Central Ave	Phoenix	AZ	85012	33.5097337999	-112.0740629598	1.5	51	1	Home Services, Lighting Fixtures & Equipment, Electricians
ogpiys3gnfZNZBTEJw5-1Q	Charleston Antique Mall	560 S Decatur Blvd	Las Vegas	NV	89107	36.16486	-115.208644	4.0	99	1	Antiques, Fashion, Home & Garden, Furniture Stores, Shopping, Used, Vintage & Consignment
0p0PqX7Zsm_0lvXzEWpwWA	Las Vegas-Clark County Library System - Sahara West Library	9600 W Sahara Ave	Las Vegas	NV	89117	36.1450039	-115.3054274	4.5	118	1	Libraries, Public Services & Government
AMN3Sgns9tB2x-b3eWk0qQ	Noodles Ranch	2765 N Scottsdale Rd, Ste 107	Scottsdale	AZ	85257	33.4793671	-111.9247231	4.0	493	1	Vietnamese, Restaurants
8OeHn9KCbICuRBs_XiDDUA	Buffalo Chip Saloon & Steakhouse	6823 E Cave Creek Rd	Cave Creek	AZ	85331	33.8316835	-111.9345868	3.5	433	1	American (Traditional), Steakhouses, Bars, Barbeque, Dive Bars, Nightlife, Restaurants
yNPh5SO-7wr8HPpVCDPbXQ	The Arrogant Butcher	2 E Jefferson St, Ste 150	Phoenix	AZ	85004	33.4473917315	-112.0728310466	4.0	2358	1	American (New), Gastropubs, Seafood, American (Traditional), Steakhouses, Restaurants, Event Planning & Services, Venues & Event Spaces, Bars, Burgers, Nightlife
eoJfl5vG7X87QhcKb0nt5Q	Hofbrauhaus Cleveland	1550 Chester Ave	Cleveland	OH	44114	41.5028607	-81.6811037	3.0	372	1	Bars, German, Nightlife, Restaurants, Beer Gardens
APPZiUz_CEvR_--qY-tbig	Pacific East Japanese Restaurant	1763 Coventry Rd	Cleveland Heights	OH	44118	41.51154	-81.579857	4.0	392	1	Sushi Bars, Japanese, Malaysian, Restaurants
2AcO-aHnBqx94dU2Z4Em2Q	The Main Dish	903 General Avenue NE	Calgary	AB	T2E 9E1	51.0529848	-114.041442	3.0	64	0	Cafes, Grocery, Delis, Gastropubs, Breakfast & Brunch, Gluten-Free, Restaurants, American (New), Coffee & Tea, Food, Canadian (New)
-wDNRL4lm1UgeFLG9KcrjQ	Yummy Grill & Sushi	9711 S Eastern Ave	Las Vegas	NV	89183	36.012748241	-115.1193797944	3.5	208	1	Chinese, Restaurants, Japanese, Hawaiian
YfsNZho-s38tB9H30Umpqg	Aloha Kitchen	1205 W Sunset Rd, Ste 120	Henderson	NV	89014	36.063316937	-115.0383465082	3.0	175	1	Hawaiian, Restaurants
V_maCS_uBRMjqa_BCEh3OA	Aroma Waxing Clinic	588 Bloor Street W, 2nd Floor	Toronto	ON	M6G 1K4	43.6647733485	-79.4129719495	3.5	86	1	Day Spas, Beauty & Spas, Hair Removal, Massage
XwJ6fZRVbxQYRsryy4-qDw	Urban Crawfish Station	4821 Spring Mountain Rd, Ste C	Las Vegas	NV	89102	36.124976	-115.207229	4.5	796	1	Cajun\/Creole, Vietnamese, Seafood, Restaurants, American (Traditional)
0PVu9kNE_mhKww_eHAQF7g	Miro Spanish Grill	7804 Rea Rd, Ste A	Charlotte	NC	28277	35.060835	-80.814262	4.0	63	0	Spanish, Basque, Restaurants, Mediterranean
tMdgY7Ou4k3bYZZulJCiuQ	Bronze Cafe at The Center	401 S Maryland Pkwy	Las Vegas	NV	89101	36.1619276	-115.1346287	4.5	618	0	Coffee & Tea, Cafes, Food, Sandwiches, Salad, Restaurants, Vegan, Vegetarian, Gluten-Free
uEx5j9wrtKldFBI8NBifzQ	The Nail Room	1450 W Horizon Ridge Pkwy, Ste B305	Henderson	NV	89012	36.0222563691	-115.0509426146	4.0	197	1	Hair Removal, Waxing, Nail Salons, Beauty & Spas
wJK311GrpDS9KSaPdz27hQ	Trinity Bellwoods Park	155 Crawford Street	Toronto	ON	M6J 2Z0	43.6458891389	-79.4135141373	4.5	85	1	Tennis, Parks, Active Life
D1BrHyiZON7u_ef-qt4_Uw	Yagyu Yakiniku	4355 W Spring Mountain Rd, Ste 107	Las Vegas	NV	89102	36.125908	-115.197906	3.5	144	0	Korean, Seafood, Japanese, Restaurants, Steakhouses, Barbeque
wiPtQK7_QAkUUMQtyiaUNg	Mimi's Cafe	10224 Perimeter Pkwy	Charlotte	NC	28216	35.3481546	-80.8519109	2.5	88	0	Breakfast & Brunch, Restaurants, Cajun\/Creole, American (New)
QFqtVX-lyZQgVHQrG-dhlg	Diamond Restaurant	1901 Commonwealth Ave	Charlotte	NC	28205	35.2190722	-80.813253	3.5	384	1	Restaurants, Diners, American (New), Southern
XbFVHYOv5MjoZcgz32Q19g	Burger Rush	3701 N Central	Phoenix	AZ	85012	33.4909169991	-112.0735326287	3.5	82	0	Breakfast & Brunch, Sandwiches, Burgers, Restaurants
kGL6bJ4cZUKdiwyUmezgiw	Armenian Kitchen	1646 Victoria Park Avenue	North York	ON	M1R 1P7	43.7309565	-79.3057989	4.0	83	1	Middle Eastern, Vegetarian, Restaurants, Vegan
in1hs9ZPiywjuY1MpMZNkQ	Eyecandy	3950 S Las Vegas Blvd	Las Vegas	NV	89119	36.091993	-115.17509	3.5	198	1	Hotels, Event Planning & Services, Bars, Nightlife, Hotels & Travel, Lounges
rcaPajgKOJC2vo_l3xa42A	Bouchon	3355 Las Vegas Blvd S, Venezia Tower, 10th floor	Las Vegas	NV	89109	36.1209554593	-115.1698532494	4.0	4138	1	French, Cafes, Restaurants, Cocktail Bars, Nightlife, Venues & Event Spaces, Event Planning & Services, Bars, Breakfast & Brunch
ZABjbfGvs6E3Gc2hG8cKJA	The District At Green Valley Ranch	2240 Village Walk Dr	Henderson	NV	89015	36.0215568	-115.086928	3.5	143	1	Shopping Centers, Shopping, Restaurants, Nightlife
ZjKpGYdQCQPxzkYWAsV56w	Thailicious Authentic Thai & Vegan	19 S Stephanie St, Ste 160	Henderson	NV	89012	36.028178	-115.048607	4.5	604	1	Restaurants, Thai, Vegetarian, Vegan
